final_location,year,metric_value,total_units
"Wakad","2020","9116.946698520345","4325"
"Wakad","2021","9289.038931398418","5030"
"Wakad","2022","9734.906578864848","4397"
"Wakad","2023","9959.56636540962","4471"
"Wakad","2024","10277.82582611386","1814"
